letter,font,min_x,min_y,max_x,max_y
B,HiraMaruPro-W4,444,433,562,589
B,HiraMaruProN-W4,444,433,562,589
B,HiraMinPro-W3,441,436,555,581
B,HiraMinProN-W3,441,436,555,581
B,HiraginoSans-W3,444,434,559,587
B,HiraginoSansGB-W3,444,434,559,587
B,HoboStd,444,419,559,585
B,HoeflerText-Regular,440,435,558,574
B,ITFDevanagari-Book,436,472,551,604
B,ITFDevanagariMarathi-Book,436,472,551,604
B,Impact,453,442,548,600
B,InaiMathi,458,452,544,584
B,IowanOldStyle-Black,428,464,569,604
B,Kailasa,460,440,548,584
B,KannadaMN,453,460,555,589
B,KannadaSangamMN,454,461,552,597
B,Kefa-Regular,447,460,554,594
B,KhmerMN,457,483,551,598
B,KhmerSangamMN,451,473,551,611
B,KohinoorBangla-Regular,458,464,548,604
B,KohinoorDevanagari-Regular,458,464,548,604
B,KohinoorTelugu-Regular,458,464,548,604
B,Kokonor,439,469,565,606
B,KozGoPr6N-Regular,459,434,548,589
B,KozGoPro-Regular,459,434,548,589
B,KozMinPr6N-Regular,447,440,552,587
B,KozMinPro-Regular,447,440,552,587
B,Krungthep,449,452,549,601
B,KufiStandardGK,460,450,548,594
B,LaoMN,451,460,557,589
B,LaoSangamMN,454,464,552,600
B,LetterGothicStd,463,431,540,574
B,LithosPro-Regular,465,433,544,574
B,Lucida Bright Demibold,440,451,555,595
B,Lucida Bright Demibold Italic,442,451,572,595
B,Lucida Bright Italic,443,451,566,595
B,Lucida Bright Regular,443,451,549,595
B,Lucida Sans Demibold,455,451,554,595
B,Lucida Sans Regular,460,450,548,594
B,Lucida Sans Typewriter Bold,453,450,554,594
B,Lucida Sans Typewriter Regular,458,451,548,595
B,LucidaBright,443,451,549,595
B,LucidaGrande,460,452,548,596
B,LucidaSans,460,450,548,594
B,Luminari-Regular,426,448,569,603
B,MalayalamMN,451,471,557,600
B,MalayalamSangamMN,454,445,552,581
B,Marion-Regular,442,437,558,570
B,MarkerFelt-Thin,455,427,545,595
B,Menlo-Regular,456,447,550,592
B,MesquiteStd,474,424,524,577
B,MicrosoftSansSerif,449,449,555,592
B,MinionPro-Regular,448,443,550,572
B,Monaco,456,448,545,599
B,MonotypeGurmukhi,460,442,548,586
B,Montserrat-Regular,447,457,564,596
B,Mshtakan,436,457,551,589
B,MshtakanBold,436,454,556,589
B,MshtakanBoldOblique,427,456,557,589
B,MshtakanOblique,437,459,556,589
B,Muna,460,429,548,573
B,MunaBlack,455,429,554,573
B,MunaBold,455,429,554,573
B,MyanmarMN,451,468,557,597
B,MyanmarSangamMN,454,456,552,592
B,MyriadArabic-Regular,471,471,532,568
