letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x
B,PlantagenetCherokee,1.470588235,1.431334656,-1,-0.5
B,PoplarStd,1.342281879,1.335955608,-2,-1
B,PrestigeEliteStd-Bd,1.639344262,1.642658376,-11,1
B,Raanana,1.515151515,1.484788007,-6,9
B,RaananaBold,1.481481481,1.443884217,-3,5
B,Roboto-Regular,1.408450704,1.392625746,-29,-3
B,Rockwell-Regular,1.360544218,1.328011744,10,2.5
B,RosewoodStd-Regular,1.333333333,1.328300786,-14,-6.5
B,STHeitiSC-Medium,1.369863014,1.347612508,0,-5
B,STHeitiTC-Medium,1.369863014,1.347612508,0,-5
B,STIXGeneral-Regular,1.515151515,1.484381136,-56,8.5
B,STIXIntegralsD-Regular,1.388888889,1.357285039,-195,-6.5
