letter,font,scale_y_letter,scale_y_font,scale_offset_y,scale_offset_x,score
A,CooperBlackStd,1.369863014,1.370519828,1,0,129
A,Arial-Black,1.398601399,1.382812535,-52,0,130
A,Phosphate-Inline,1.503759398,1.487611505,-40,0,130
A,SignPainter-HouseScript,1.5625,1.56017636,-13,-5,136
A,Apple-Chancery,1.470588235,1.370502132,-59,-11,141
A,Kokonor,1.470588235,1.370502132,-48,-11,141
A,MesquiteStd,1.307189542,1.303533068,-1,0,143
A,Krungthep,1.342281879,1.336994856,-34,0.5,146
A,Silom,1.342281879,1.336994856,-28,0.5,146
A,BodoniOrnamentsITCTT,1.156069364,1.079973518,-12,0.5,147
A,Wingdings-Regular,1.257861635,1.469388249,-36,0,148
A,BirchStd,1.342281879,1.342281879,0,1,151
A,BrushScriptMT,1.449275362,1.403977306,-38,-4,159
A,BrushScriptStd,1.351351351,1.317108169,-4,4,163
A,SavoyeLetPlain,1.481481481,1.471140498,-8,6.5,168
A,Wingdings2,3.125,1.618312702,34,0,168
A,SnellRoundhand,1.388888889,1.334622192,-28,-28.5,172
A,BradleyHandITCTT-Bold,1.62601626,1.743291476,-66,10,179
A,Webdings,1.092896175,1.261447211,-51,0.5,188
A,BlackoakStd,1.342281879,1.33292108,0,-0.5,200
A,Zapfino,0.727272727,0.787688138,-80,-0.5,203
A,Wingdings3,1.851851852,1.899762496,-8,0,206
B,LetterGothicStd,1.398601399,1.37754756,-2,-2.5,66
B,Optima-Regular,1.459854015,1.423112574,-31,-1.5,66
B,ArialNarrow,1.398601399,1.384324744,-29,-1.5,67
B,EuphemiaUCAS,1.315789474,1.292772758,-41,-2,67
B,AdobeFangsongStd-Regular,1.360544218,1.32935918,-17,1,68
B,KohinoorBangla-Regular,1.428571429,1.410059006,-48,-4,69
B,KohinoorDevanagari-Regular,1.428571429,1.410059006,-48,-4,69
B,KohinoorTelugu-Regular,1.428571429,1.410059006,-48,-4,69
B,AppleSymbols,1.869158879,1.830990553,-21,-1.5,70
B,AvenirNext-Regular,1.418439716,1.402208199,-39,-3,70
B,Geneva,1.324503311,1.298598776,-29,-1.5,70
B,Lucida Sans Typewriter Regular,1.388888889,1.364071561,-29,-4,70
B,Sathu,1.324503311,1.298598776,-17,-1.5,70
B,Thonburi,1.324503311,1.297495346,-40,-2,70
B,AdobeKaitiStd-Regular,1.360544218,1.328869443,-17,1,71
B,AndaleMono,1.459854015,1.438215154,-30,-4.5,71
B,AppleBraille,1.324503311,1.297086098,-1,-0.5,71
B,AppleColorEmoji,1.324503311,1.297086098,-29,-0.5,71
B,AppleSDGothicNeo-Regular,1.492537313,1.475586221,-20,-5.5,71
B,AvenirNextCondensed-Regular,1.418439716,1.404325479,-40,-5.5,71
B,Ayuthaya,1.324503311,1.296293642,-38,-0.5,71
B,ChaparralPro-Regular,1.526717557,1.51260868,-13,-1,71
B,GB18030Bitmap,1.324503311,1.297086098,-45,-0.5,71
B,InaiMathi,1.515151515,1.495677989,-27,-2.5,71
B,KozGoPr6N-Regular,1.290322581,1.298494376,-16,-5.5,71
B,KozGoPro-Regular,1.290322581,1.298494376,-16,-5.5,71
B,KozMinPr6N-Regular,1.360544218,1.328869443,-17,1,71
B,KozMinPro-Regular,1.360544218,1.328869443,-17,1,71
B,Monaco,1.324503311,1.297086098,-29,-0.5,71
B,Seravek,1.503759398,1.471667718,-35,-4.5,71
B,AdobeSongStd-Light,1.6,1.551189852,-36,1,72
B,AlBayan,1.388888889,1.357285039,-34,-6.5,72
B,AlNile,1.388888889,1.357285039,-12,-6.5,72
B,AlTarikh,1.388888889,1.357285039,25,-6.5,72
B,ArialHebrew,1.388888889,1.357285039,2,-6.5,72
B,ArialHebrewScholar,1.388888889,1.357285039,2,-6.5,72
B,Baghdad,1.388888889,1.357285039,-24,-6.5,72
B,CorsivaHebrew,1.388888889,1.357285039,16,-6.5,72
B,Damascus,1.388888889,1.357285039,22,-6.5,72
B,DamascusLight,1.388888889,1.357285039,22,-6.5,72
B,DecoTypeNaskh,1.388888889,1.357285039,-59,-6.5,72
B,DiwanKufi,1.388888889,1.357285039,-88,-6.5,72
B,DiwanMishafi,1.388888889,1.357285039,-6,-6.5,72
B,DiwanMishafiGold,1.388888889,1.357285039,-6,-6.5,72
B,DiwanThuluth,1.388888889,1.357285039,-36,-6.5,72
B,Farah,1.388888889,1.357285039,-2,-6.5,72
B,Farisi,1.388888889,1.357285039,-49,-6.5,72
B,GeezaPro,1.388888889,1.357285039,-21,-6.5,72
B,Kailasa,1.388888889,1.357285039,-14,-6.5,72
B,KufiStandardGK,1.388888889,1.357285039,-27,-6.5,72
B,Lucida Sans Regular,1.388888889,1.357285039,-28,-6.5,72
B,LucidaGrande,1.388888889,1.357285039,-30,-6.5,72
B,LucidaSans,1.388888889,1.357285039,-28,-6.5,72
B,MonotypeGurmukhi,1.388888889,1.357285039,-17,-6.5,72
B,Muna,1.388888889,1.357285039,1,-6.5,72
B,MyriadArabic-Regular,2.06185567,2.058044128,-41,-4.5,72
B,MyriadHebrew-Regular,1.459854015,1.470704313,-12,-4.5,72
B,MyriadPro-Regular,1.459854015,1.471506347,-12,-4.5,72
B,Nadeem,1.388888889,1.357285039,-24,-6.5,72
B,NewPeninimMT,1.388888889,1.357285039,2,-6.5,72
B,NotoNastaliqUrdu,1.388888889,1.357285039,-158,-6.5,72
B,PTSans-Regular,1.398601399,1.40528931,-29,-3.5,72
B,STIXIntegralsD-Regular,1.388888889,1.357285039,-195,-6.5,72
B,STIXIntegralsSm-Regular,1.388888889,1.357285039,-42,-6.5,72
B,STIXIntegralsUp-Regular,1.388888889,1.357285039,-42,-6.5,72
B,STIXIntegralsUpD-Regular,1.388888889,1.357285039,-195,-6.5,72
B,STIXIntegralsUpSm-Regular,1.388888889,1.357285039,-42,-6.5,72
B,STIXNonUnicode-Regular,1.388888889,1.357285039,-96,-6.5,72
B,STIXSizeFiveSym-Regular,1.388888889,1.357285039,-30,-6.5,72
B,STIXSizeFourSym-Regular,1.388888889,1.357285039,-252,-6.5,72
B,STIXSizeOneSym-Regular,1.388888889,1.357285039,-115,-6.5,72
B,STIXSizeThreeSym-Regular,1.388888889,1.357285039,-252,-6.5,72
B,STIXSizeTwoSym-Regular,1.388888889,1.357285039,-183,-6.5,72
B,STIXVariants-Regular,1.388888889,1.357285039,-42,-6.5,72
B,Sana,1.388888889,1.357285039,-1,-6.5,72
B,Symbol,1.388888889,1.357285039,6,-6.5,72
B,Waseem,1.388888889,1.357285039,-20,-6.5,72
B,WaseemLight,1.388888889,1.357285039,-20,-6.5,72
B,ZapfDingbatsITC,1.388888889,1.357285039,-10,-6.5,72
B,AGaramondPro-Regular,1.503759398,1.452846117,-6,1,73
